faixa_hp,pokemon_id,nome,hp,ataque,defesa,velocidade
Alto,39,Jigglypuff,115,45,20,20
Alto,40,Wigglytuff,140,70,45,45
Alto,89,Muk,105,105,75,50
Alto,112,Rhydon,105,130,120,40
Alto,113,Chansey,250,5,5,50
Alto,115,Kangaskhan,105,95,80,90
Alto,131,Lapras,130,85,80,60
Alto,134,Vaporeon,130,65,60,65
Alto,143,Snorlax,160,110,65,30
Alto,150,Mewtwo,106,110,90,130
Alto,171,Lanturn,125,58,58,67
Alto,202,Wobbuffet,190,33,58,33
Alto,242,Blissey,255,10,10,55
Alto,244,Entei,115,115,85,100
Alto,249,Lugia,106,90,130,110
Alto,250,Ho-oh,106,130,90,90
Alto,289,Slaking,150,160,100,100
Alto,295,Exploud,104,91,63,68
Alto,297,Hariyama,144,120,60,50
Alto,320,Wailmer,130,70,35,60
Alto,321,Wailord,170,90,45,60
Alto,340,Whiscash,110,78,73,60
Alto,365,Walrein,110,80,90,65
Alto,384,Rayquaza,105,150,90,95
Alto,423,Gastrodon,111,83,68,39
Alto,426,Drifblim,150,80,44,80
Alto,435,Skuntank,103,93,67,84
Alto,445,Garchomp,108,130,95,102
Alto,446,Munchlax,135,85,40,5
Alto,450,Hippowdon,108,112,118,47
Alto,463,Lickilicky,110,85,95,50
Alto,464,Rhyperior,115,140,130,40
Alto,473,Mamoswine,110,130,80,80
Alto,486,Regigigas,110,160,110,100
Alto,487,"GiratinaAltered Forme",150,100,120,90
Alto,488,Cresselia,120,70,120,85
Alto,493,Arceus,120,120,120,120
Alto,500,Emboar,110,123,65,65
Alto,518,Musharna,116,55,85,29
Alto,530,Excadrill,110,135,60,88
Alto,531,Audino,103,60,86,50
Alto,534,Conkeldurr,105,140,95,45
Alto,537,Seismitoad,105,95,75,74
Alto,538,Throh,120,100,85,45
Alto,555,"DarmanitanStandard Mode",105,140,55,95
Alto,579,Reuniclus,110,65,75,30
Alto,591,Amoonguss,114,85,70,30
Alto,594,Alomomola,165,75,80,65
